id;Nome;Tipo;Sigla;Setor;Status;Sond;Data Aquisição;Última Calibração;Periodicidade;Status Calibração;Fabricante;Modelo;Modelo Técnico;Número de Série;Informações Extras
133;PEN-104;Peneira;PEN;EST;ativo;1042;21-07-2023;;12;Especial;Projetest;Malha 10;2,00mm (Nº10);59Z8F523;PENEIRA NR.10 - 2,00MM INOX
134;PEN-112;Peneira;PEN;EST;inativo;1319;23-10-2024;11-12-2024;12;Calibrado;Projetest;Malha 30;0,600mm(Nº30);445052;Peneira0,600mm(Nº30)
135;PEN-123;Peneira;PEN;EST;ativo;1341;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 10;N10;;
136;PEN-125;Peneira;PEN;EST;ativo;1345;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 10;N10;;
137;PEN-126;Peneira;PEN;EST;ativo;1346;15-10-2024;09-12-2024;12;Calibrado;Eco Formas;Malha 2;Nº2;;
138;PEN-127;Peneira;PEN;EST;ativo;1347;15-10-2024;09-12-2024;12;Calibrado;Eco Formas;Malha 1/4;PEN 1/4;;
139;PEN-128;Peneira;PEN;EST;inativo;1348;15-10-2024;09-12-2024;12;Calibrado;Eco Formas;Malha 1;"PEN 1 \""";;
140;PEN-130;Peneira;PEN;EST;ativo;1350;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 3/8;PEN 3/8;;
141;PEN-132;Peneira;PEN;EST;inativo;1352;15-10-2024;09-12-2024;12;Calibrado;Eco Formas;Malha 16;PEN N16;;
142;PEN-133;Peneira;PEN;EST;ativo;1353;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 30;PEN N30;;
143;PEN-135;Peneira;PEN;EST;ativo;1355;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 40;PEN N40;;
144;PEN-136;Peneira;PEN;EST;inativo;1356;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 40;PEN N40;;
145;PEN-147;Peneira;PEN;EST;ativo;1491;05-02-2025;;12;Incerto;Solotest;Malha 200;Malha 200;490055;Peneira 8x2 Número 200 - abertura 0,75mm
146;PEN-124;Peneira;PEN;EST;ativo;1344;15-10-2024;11-12-2024;12;Calibrado;Eco Formas;Malha 10;PEN N10;;
147;PEN-158;Peneira;PEN;EST;ativo;1597;22-02-2025;09-12-2024;12;Calibrado;Projetest;Malha 60;250um, Malha n.60;;
148;PEN-152;Peneira;PEN;SED;inativo;1517;09-04-2025;;12;Especial;Solotest;Malha 200;Malha 200 (3201200);495397;Peneira 8x2 Número 200 - abertura 0,75mm
149;PEN-159;Peneira;PEN;EST;ativo;1598;10-02-2025;;12;Especial;Projetest;Malha 2 1/2;Malha 63MM;;
150;PAQ-005;Paquímetro;PAQ;EST;ativo;1395;04-11-2024;06-12-2024;12;Calibrado;Stainless Hardened;;Digital;005;Paquímetro digital 150mm
151;PAQ-003;Paquímetro;PAQ;EST;inativo;701;08-08-2022;16-10-2023;12;Não_Calibrado;Stainless Hardened;;Digital 300mm/12;2011/65;PAQUIMETRO DIGITAL 08 200MM CURSOR ACO 7VT EDA
152;PAQ-001;Paquímetro;PAQ;EST;ativo;469;;24-04-2023;36;Calibrado;Jomarca;;Paquímetro;057 20046;
153;PRO-152;Proveta;PRO;SED;ativo;1581;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
154;PRO-151;Proveta;PRO;SED;ativo;1580;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;; Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
155;PRO-150;Proveta;PRO;EST;ativo;1579;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
156;PRO-149;Proveta;PRO;SED;ativo;1578;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
157;PRO-147;Proveta;PRO;SED;ativo;1576;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
158;PRO-144;Proveta;PRO;SED;ativo;1549;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta graduada vidro de 1000ml com bico e base para ensaio de sedimentação. Sem calibração.
159;PRO-142;Proveta;PRO;SED;ativo;1535;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
160;PRO-141;Proveta;PRO;SED;ativo;1534;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
161;PRO-140;Proveta;PRO;SED;inativo;1533;10-02-2025;;12;Especial;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
162;PRO-139;Proveta;PRO;SED;ativo;1532;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml
163;PRO-138;Proveta;PRO;SED;ativo;1531;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
164;PRO-137;Proveta;PRO;SED;ativo;1530;10-02-2025;;12;Especial;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
165;PRO-134;Proveta;PRO;SED;ativo;1509;10-02-2025;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
166;PRO-133;Proveta;PRO;SED;inativo;1508;10-02-2025;;12;Especial;Eco Fomras;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
167;PRO-131;Proveta;PRO;SED;ativo;1379;15-10-2024;;12;Especial;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
168;PRO-132;Proveta;PRO;SED;ativo;1380;15-10-2024;;12;Especial;Eco Formas;;Vidro 1000ml;; Proveta de vidro graduada com bico 1000ml.
169;PRO-127;Proveta;PRO;SED;ativo;1375;15-10-2024;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml. 
170;PRO-128;Proveta;PRO;SED;inativo;1376;15-10-2024;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
171;PRO-130;Proveta;PRO;SED;ativo;1378;15-10-2024;;12;Incerto;Eco Formas;;Vidro 1000ml;; Proveta de vidro graduada com bico 1000ml.
172;PRO-125;Proveta;PRO;SED;ativo;1373;15-10-2024;;12;Especial;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
173;PRO-124;Proveta;PRO;SED;ativo;1372;15-10-2024;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
174;PRO-115;Proveta;PRO;SED;ativo;1362;15-10-2024;;12;Incerto;Eco Formas;;Vidro 1000ml;;Proveta de vidro graduada com bico 1000ml.
175;PRO-091;Proveta;PRO;SED;ativo;1098;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
176;PRO-110;Proveta;PRO;SED;ativo;1118;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1000ml com base plástica
177;PRO-105;Proveta;PRO;SED;ativo;1111;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
178;PRO-103;Proveta;PRO;SED;ativo;1109;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
179;PRO-101;Proveta;PRO;SED;ativo;1108;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
180;PRO-099;Proveta;PRO;SED;ativo;1106;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
181;PRO-094;Proveta;PRO;SED;inativo;1101;21-08-2023;;12;Especial;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
182;PRO-093;Proveta;PRO;EST;inativo;1100;21-08-2023;;12;Incerto;Projetest;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml com base plástica
183;PRO-089;Proveta;PRO;SED;ativo;939;10-04-2023;23-02-2024;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml
184;PRO-087;Proveta;PRO;SED;ativo;937;10-04-2023;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml
185;PRO-086;Proveta;PRO;SED;ativo;936;10-04-2023;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta sem bico graduada 1.000ml
186;PRO-073;Proveta;PRO;SED;ativo;800;10-11-2022;;12;Incerto;Solotest;;Vidro 1000ml;;Proveta de vidro sem graduação e bico 1000ml
187;PRO-075;Proveta;PRO;SED;ativo;803;10-11-2022;;12;Incerto;Solotest;;Vidro 1000ml;;Proveta de vidro sem graduação e bico 1000ml
188;PRO-074;Proveta;PRO;SED;ativo;801;10-11-2022;;12;Especial;Solotest;;Vidro 1000ml;;Proveta de vidro sem graduação e bico 1000ml
189;PRO-071;Proveta;PRO;SED;ativo;798;10-11-2022;;12;Incerto;Solotest;;Vidro 1000ml;;Proveta de vidro sem graduação e sem bico 1000ml
190;PRO-065;Proveta;PRO;SED;ativo;719;08-08-2022;;12;Incerto;Lacerda;;Vidro 1000ml;;Proveta de vidro 1000ml -> Sem graduação e sem bico vertedor
